City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,14.52,70,1,2.04,AU,1714148856
1,blackmans bay,-43.0167,147.3167,10.07,88,75,0.45,AU,1714148856
2,thompson,55.7435,-97.8558,13.09,44,20,7.2,CA,1714148856
3,papatowai,-46.5619,169.4708,8.28,69,94,6.8,NZ,1714148856
4,tomatlan,19.9333,-105.25,30.95,27,91,2.59,MX,1714148856
5,longyearbyen,78.2186,15.6401,-2.09,80,20,2.57,SJ,1714148856
6,hermanus,-34.4187,19.2345,18.22,74,35,11.3,ZA,1714148857
7,port-aux-francais,-49.35,70.2167,7.02,96,99,11.18,TF,1714148857
8,lihue,21.9789,-159.3672,22.42,82,100,6.69,US,1714148857
9,santa cruz,-17.8,-63.1667,30.7,74,75,9.26,BO,1714148677
10,yellowknife,62.456,-114.3525,-10.33,63,0,5.14,CA,1714148685
11,kingston,17.997,-76.7936,32.87,62,20,4.12,JM,1714148618
12,es castell,39.8795,4.2854,17.38,72,75,4.63,ES,1714148858
13,hammerfest,70.6634,23.6821,2.25,69,75,5.66,NO,1714148858
14,waitangi,-43.9535,-176.5597,11.01,77,53,4.47,NZ,1714148858
15,port mathurin,-19.6833,63.4167,26.81,77,85,8.27,MU,1714148858
16,laguna,38.421,-121.4238,17.3,73,75,2.57,US,1714148858
17,kalkaman,51.9525,76.0211,7.58,26,0,3.6,KZ,1714148858
18,lata,40.1629,-8.3327,14.95,69,100,5.03,PT,1714148859
19,tura,25.5198,90.2201,27.01,17,0,1.93,IN,1714148714
20,ola,59.5833,151.2833,0.08,81,100,10.53,RU,1714148859
21,baiti,13.745,-14.7482,43.3,9,52,2.58,SN,1714148859
22,kibaya,-5.3,36.5667,16.47,97,100,1.27,TZ,1714148621
23,wailua homesteads,22.0669,-159.378,22.08,81,100,6.69,US,1714148859
24,adamstown,-25.066,-130.1015,23.52,88,85,7.61,PN,1714148860
25,shahrud,36.4182,54.9763,14.98,45,38,5.9,IR,1714148860
26,lebu,-37.6167,-73.65,12.93,54,100,2.4,CL,1714148860
27,tenenkou,14.4572,-4.9169,43.49,8,24,4.28,ML,1714148860
28,at taj,24.2049,23.2857,30.72,9,14,5.9,LY,1714148860
29,susuman,62.7833,148.1667,-1.68,95,100,1.79,RU,1714148692
30,arar,30.9753,41.0381,32.01,7,0,3.09,SA,1714148861
31,aasiaat,68.7098,-52.8699,1.39,88,100,5.02,GL,1714148861
32,antonio enes,-16.2325,39.9086,26.04,64,92,5.3,MZ,1714148640
33,letlhakane,-21.4167,25.5833,27.91,25,12,4.27,BW,1714148861
34,qaqortoq,60.7167,-46.0333,3.81,92,84,1.3,GL,1714148861
35,qacha's nek,-30.1154,28.6894,11.03,69,65,2.55,LS,1714148861
36,haiku-pauwela,20.9219,-156.3051,22.8,82,20,4.12,US,1714148861
37,zaragoza,41.6561,-0.8773,21.38,52,40,4.63,ES,1714148862
38,puerto ayora,-0.7393,-90.3518,28.98,86,52,1.79,EC,1714148862
39,grytviken,-54.2811,-36.5092,2.71,97,100,3.06,GS,1714148862
40,port lincoln,-34.7333,135.8667,13.76,68,96,3.34,AU,1714148862
41,bilibino,68.0546,166.4372,-16.09,97,98,1.64,RU,1714148862
42,wenchang,30.904,118.4887,18.38,93,0,2.29,CN,1714148862
43,changli,39.7042,119.1506,15.07,66,100,1.77,CN,1714148863
44,sinabang,2.4803,96.3801,27.6,83,80,1.44,ID,1714148863
45,kapa'a,22.0752,-159.319,22.83,81,100,6.69,US,1714148863
46,keflavik,64.0049,-22.5624,10.95,49,0,9.26,IS,1714148863
47,shohimardon,39.9839,71.8028,14.43,61,100,1.15,UZ,1714148864
48,kenai,60.5544,-151.2583,4.52,100,100,3.09,US,1714148864
49,tral,33.9333,75.1,12.47,79,100,0.38,IN,1714148864
50,thinadhoo,0.5333,72.9333,29.71,73,51,1.44,MV,1714148864
51,chonchi,-42.6128,-73.8092,9.51,70,23,4.37,CL,1714148864
52,new norfolk,-42.7826,147.0587,10.72,98,35,1.2,AU,1714148864
53,west island,-12.1568,96.8225,27.99,83,40,6.17,CC,1714148865
54,punta arenas,-53.15,-70.9167,5.06,75,75,8.23,CL,1714148601
55,khandyga,62.6667,135.6,-11.17,94,100,2.15,RU,1714148573
56,kone,-21.0595,164.8658,21.7,88,100,1.26,NC,1714148865
57,gangneung,37.7556,128.8961,22.31,55,66,4.19,KR,1714148865
58,ilulissat,69.2167,-51.1,3.01,81,75,6.17,GL,1714148866
59,oranjemund,-28.55,16.4333,17.64,73,2,2.72,NA,1714148866
60,talnakh,69.4865,88.3972,-4.89,97,100,2.16,RU,1714148866
61,vadso,70.0744,29.7487,2.49,93,75,3.6,NO,1714148866
62,georgetown,5.4112,100.3354,28.86,86,20,1.54,MY,1714148594
63,st. john's,47.5649,-52.7093,7.31,60,75,5.66,CA,1714148631
64,kashgar,39.4547,75.9797,22.56,12,20,5.0,CN,1714148866
65,menaka,15.9182,2.4022,43.14,6,0,0.76,ML,1714148867
66,edinburgh of the seven seas,-37.0676,-12.3116,17.64,92,100,11.64,SH,1714148867
67,jamestown,42.097,-79.2353,15.85,33,0,5.66,US,1714148867
68,olonkinbyen,70.9221,-8.7187,-1.61,98,100,6.08,SJ,1714148867
69,vila velha,-20.3297,-40.2925,28.87,96,100,3.09,BR,1714148598
70,ushuaia,-54.8,-68.3,3.81,81,100,3.6,AR,1714148801
71,klyuchi,52.2667,79.1667,5.57,32,2,3.02,RU,1714148868
72,cabo san lucas,22.8909,-109.9124,27.01,35,0,3.09,MX,1714148868
73,ust-nera,64.5667,143.2,-5.16,96,100,2.64,RU,1714148868
74,morehead city,34.7229,-76.726,21.69,70,0,5.66,US,1714148868
75,bengkulu,-3.8004,102.2655,25.18,96,100,2.38,ID,1714148868
76,puqi,29.7167,113.8833,21.1,82,2,1.0,CN,1714148869
77,port macquarie,-31.4333,152.9167,14.94,87,60,3.61,AU,1714148869
78,atafu village,-8.5421,-172.5159,29.11,77,73,4.81,TK,1714148814
79,levokumka,44.2317,43.15,22.14,40,81,6.0,RU,1714148869
80,gvardeysk,54.6477,21.0651,11.86,52,87,4.92,RU,1714148870
81,magadan,59.5667,150.8,-0.26,89,100,10.89,RU,1714148673
82,kodiak,57.79,-152.4072,2.73,87,100,0.0,US,1714148870
83,invercargill,-46.4,168.35,6.68,81,94,4.02,NZ,1714148870
84,camana,-16.6228,-72.7111,21.83,75,13,4.14,PE,1714148870
85,essaouira,31.5125,-9.77,23.72,38,0,7.72,MA,1714148624
86,gizo,-8.103,156.8419,28.29,78,93,0.9,SB,1714148871
87,badger,64.8,-147.5333,4.93,63,75,1.54,US,1714148871
88,ostrogozhsk,50.8664,39.0756,20.25,56,100,1.59,RU,1714148871
